CNK;Naam;Subcategorie;Nieuwe prijs;Oude prijs;Korting;Korting
3006285;DIFRAX FLESSENSPEEN NATURAL LARGE 673;Zuigflessen, zuigspenen en toebehoren;5.09;5.99;-0.15;0.18
3;NUBY POTJE MET DEKSEL PP 120ML 6;Eten en drinken toebehoren;6.47;7.19;-0.10;0.11
3381076;DIFRAX FOPSPEEN NATURAL 6+ BUMBA;Fopspenen en toebehoren;5.09;5.99;-0.15;0.18
2116754;WOLF THERMOMETER DIGITAAL TH024150;Thermometers;3.82;4.50;-0.15;0.18
3382132;GYNAEFAM ORO PDR 28X1,5G;Borstvoeding;12.77;15.02;-0.15;0.18
2470839;DERMOCREM ROODHEID-IRRITATIE VAN DE HUID CREME250G;Ziekten en kwaaltjes;9.14;10.75;-0.15;0.18
1681931;BIOLYS VENKEL BIO TEA-BAGS 20;Borstvoeding;3.98;4.98;-0.20;0.25
2171981;URIAGE ISOPHY FYSIOLOGISCH SERUM NATUREL 20X5ML;Ziekten en kwaaltjes;4.33;5.10;-0.15;0.18
3458064;OLVARIT FRUIT APPEL PERZIK KOEK 2X200G 8M54;Babyvoeding;2.84;2.99;-0.05;0.05
3143468;BRAUN THERMOMETER PRT2000 DIGIT + INSTELLING LFTD;Thermometers;14.24;14.99;-0.05;0.05
2734101;DIFRAX BTOB KOLFTAS 614;Borstvoeding;42.49;49.99;-0.15;0.18
2655884;LACTIBIANE REFERENCE GEL 10X2.5G;Ziekten en kwaaltjes;10.11;11.90;-0.15;0.18
3108818;PAMPERS MICRO LUIERS 1X24;Luiers;4.84;5.69;-0.15;0.18
3177979;MUSTELA MAT BALSEM HYDRATEREND VERZACHTEND 200ML;Lichaamsverzorging baby en kind;17.55;20.65;-0.15;0.18
3134699;DODIE SPEEN SMALL HALS 1LFTD 3SNEL. 2;Zuigflessen, zuigspenen en toebehoren;5.01;5.90;-0.15;0.18
2667061;DIFRAX FOPSPEEN SILICOON MINI-DENTAL BOY 0-6M 799;Fopspenen en toebehoren;4.24;4.99;-0.15;0.18
3271905;NAN EVOLIA 2 MELKPOEDER 800G;Babyvoeding;15.67;16.49;-0.05;0.05
1416452;ADERMA CYTELIUM LOTION 100ML;Ziekten en kwaaltjes;10.62;12.50;-0.15;0.18
2784536;MUSTELA DP STELAPROTECT WASGEL 200ML;Lichaamsverzorging baby en kind;12.32;14.50;-0.15;0.18
