CNK;Naam;Subcategorie;Nieuwe prijs;Oude prijs;Korting;Korting
3190287;RESOURCE PROTEIN VANILLE 4X200ML;Vervangvoeding;9.43;9.93;-0.05;0.05
3360351;OENOBIOL LIPOREDUCER CAPS 2X60;Vetblokkers;38.18;44.92;-0.15;0.18
2219830;ORTIS ORTISAN TRANSIPLUS COMP 54X400MG;Moeilijke stoelgang;9.56;11.25;-0.15;0.18
3037157;KINESLIM SPAGHETTI CARBONARA PDR 4X44G;Eiwitdieet-maaltijdvervangers;10.16;11.95;-0.15;0.18
1455500;TARANIS DALIA DRINK 200ML 4609;Glutenvrij;0.87;0.92;-0.05;0.06
3047578;FORTIMEL COMPACT FIBRE AARDBEI 4X125ML;Vervangvoeding;11.38;11.98;-0.05;0.05
1038751;SORIA COMPOSOR N21 FUCUS COMPLEX/SLIMSOR 50ML;Totaalformules;12.54;14.75;-0.15;0.18
2852663;SCHAR CORN FLAKES GLUTENVRIJ 250G 6587;Glutenvrij;2.08;2.19;-0.05;0.05
2837912;KINESLIM REEP AARDBEI 4X36G;Eiwitdieet-maaltijdvervangers;8.46;9.95;-0.15;0.18
1038348;PRODIA JAM FRAMBOZEN + FRUCTOSE 370G 6092;Suikervrij/arm;2.86;3.18;-0.10;0.11
3026549;CLINUTREN MIX KABELJAUW-GROENTEN NF ZAKJE 6X75G;Vervangvoeding;10.12;10.65;-0.05;0.05
2974483;SOMATOLINE COSM.STUBBORN AREAS BEHAND.INTENS 100ML;Vetverbranders;33.91;39.90;-0.15;0.18
3096591;MENOPHYTEA VOCHTRETENTIE COMP 60;Vochtafdrijvers;26.95;29.95;-0.10;0.11
3113958;FRESUBIN 2KCAL CREME AARDBEI POT 4X125G;Vervangvoeding;8.44;8.88;-0.05;0.05
2951408;CANDEREL GREEN EXTRACT STEVIA 40G;Suikervervangers;3.19;3.55;-0.10;0.11
3016946;RESOURCE DIABET VANILLA 4X200ML 12173634;Suikervrij/arm;8.78;9.24;-0.05;0.05
2995272;AQUAFLEUR EXTRA FORTE CAPS 60;Detox;13.45;14.95;-0.10;0.11
2881571;RESOURCE REPAIR KOFFIE FLES 4X200ML;Proteïnenrijk;7.93;8.35;-0.05;0.05
