CNK;Naam;Subcategorie;Nieuwe prijs;Oude prijs;Korting;Korting
3367596;ADERMA EXOMEGA LAIT NF 400ML;Verzorging lichaam;19.12;22.50;-0.15;0.18
2881886;VICHY IDEALIA NH 50ML;Dag- en nachtcrème;22.31;26.25;-0.20;0.18
1157395;SORIA CRISALIDA-G CR A/RIMPEL 30ML;Dag- en nachtcrème;21.21;24.95;-0.15;0.18
3010345;LISANDRA COSMENAIL VAO 16 MARRON CLAIR 5ML;Nagels;4.21;4.95;-0.15;0.18
2899342;WELEDA VENADORON GEL 100ML;Vermoeide voeten;11.04;12.99;-0.15;0.18
2913416;APIVITA SERUM NATUREL STRALENDE HUID 15ML;Masker en serum;25.46;29.95;-0.15;0.18
2167468;COMPEED ANTI BLAREN STICK 10ML;Kloven, eelt, blaren en likdoorns;8.46;9.95;-0.15;0.18
3231966;APIVITA NATUURLIJKE ZEEP HONING 125G;Bad en douche;4.04;4.75;-0.15;0.18
2842490;VICHY LIFTACTIV DERM SOURCE UV 50ML;Dag- en nachtcrème;26.04;32.55;-0.20;0.25
2729069;PHYTOSUN ARGAN PL.OLIE POMP 30ML VERV.2356806;Verzorging lichaam;11.01;12.95;-0.15;0.18
2837235;KATIMA A CREME GETINT STRALEND TUBE 50ML;Gezicht;20.40;24.00;-0.15;0.18
1633130;VISMED BEVOCHTIGEN OGEN 0,18% FL 20 X 0,3ML;Ogen;8.64;10.16;-0.15;0.18
2853323;APIVITA COLOR PROTECTION SYSTEM COLORED HAIR;Haarverzorging;8.70;10.23;-0.15;0.18
3007853;DERMOLIN BODYCREME POT 200ML CFR 3470366;Verzorging lichaam;9.31;10.95;-0.15;0.18
2741148;APIVITA EXPRESS GEZICHT REINIG.DOEKJES KAMILLE 5ML;Reinigen;0.76;0.90;-0.16;0.18
2973188;VICHY DERCOS NEOGENIC SH 200ML;Haarverzorging;10.60;13.25;-0.20;0.25
175182;CELLONA HANDCREME BESCHERMEND TUBE 100ML 50814;Droge handen;5.94;6.99;-0.15;0.18
1432780;VITA CITRAL TR GEL BESCHADIGDE HANDEN 75ML 40312;Droge handen;10.20;12.00;-0.15;0.18
631531;CETAPHIL REINIGENDE LOTION 200ML;Reinigen;10.57;12.43;-0.15;0.18
3321809;ACTIPUR MICELLAIRE OPL. REINIG. ZUIVEREND FL 250ML;Acné-huid;11.01;12.95;-0.15;0.18
2554087;URIAGE HYSEAC VERZORG.VERZACHT.-HERSTRUCTUR. 40ML;Dag- en nachtcrème;11.90;14.00;-0.15;0.18
3278736;RAIN PHARMA HAND BALM CALM. BOTANIC TOUCH 300ML;Droge handen;24.61;28.95;-0.15;0.18
2913333;APIVITA SHAMPOO DROOG-UITGEDROOGD HAAR 250ML;Haarverzorging;8.70;10.23;-0.15;0.18
2037034;LRP HYDRAPHASE INTENSE RIJK 50ML;Dag- en nachtcrème;17.76;22.20;-0.20;0.25
3032372;EYE CARE VAO PERFECTION 1319 MARRON GLACE 5ML;Nagels;10.92;12.85;-0.15;0.18
3270121;VICHY DERMABLEND CORRECTION 3D 45 30ML;Gezicht;19.16;23.95;-0.20;0.25
1026871;DERMAGOR CR SUPPLETIVE GELAAT 40ML;Dag- en nachtcrème;20.00;23.53;-0.15;0.18
3237351;URIAGE REINIGINGSOLIE FL 400ML;Bad en douche;14.02;16.50;-0.15;0.18
449736;DERMAGOR COLD CREAM 40ML;Verzorging lichaam;8.40;9.88;-0.15;0.18
1495670;EYE CARE RAL 50 ROSE CLAIR;Lippen;16.96;19.95;-0.15;0.18
3255817;FOTO ULTRA 100 ACTIVE UNIFY 50ML;Lichaam en gelaat;21.25;25.00;-0.15;0.18
3010360;LISANDRA COSMENAIL VAO 18 FUSHIA 5ML;Nagels;4.21;4.95;-0.15;0.18
2216992;EYE CARE OOGSCHADUW DUO TAUPE-FOUGERE 00051;Ogen;19.97;23.50;-0.15;0.18
2232148;VERATTIVA DAGVERZORGING GELAAT REVIT.-BESCH. 50ML;Dag- en nachtcrème;21.67;25.50;-0.15;0.18
3178134;PURESSENTIEL A/HAARUITVAL VERZORGEND SERUM 150ML;Haarverzorging;42.46;49.95;-0.15;0.18
2721124;LIERAC EXCLUSIVE PREMIUM SERUM 30ML;Masker en serum;87.55;103.00;-0.15;0.18
3297660;VICHY NEOVADIOL SUBSTITUTIEF COMPLEX NACHT 50ML;Dag- en nachtcrème;26.36;32.95;-0.20;0.25
128256;LRP HYDRANORME 40ML;Dag- en nachtcrème;15.52;19.40;-0.20;0.25
2766459;ADERMA SENSIPHASE AR MASKER VERZACHTEND 50ML;Roodheid verzorging;14.28;16.80;-0.15;0.18
2308732;SEADERM SEA HYDRA HYDRATERENDE MARINE CR TUBE 40ML;Dag- en nachtcrème;21.71;22.85;-0.05;0.05
2741684;APIVITA SHAMPOO DROGE HOOFDHUID 250ML;Haarverzorging;9.26;10.89;-0.15;0.18
2969319;VICHY IDEALIA BB CREAM MEDIUM SHADE 40ML;Gezicht;20.44;25.55;-0.20;0.25
2741585;APIVITA CLEANSING ZUIVER LOT.HUID VET/GEMENGD200ML;Acné-huid;12.06;14.19;-0.15;0.18
3344397;ALPHAMILIALE ALPHA PROTECT 30ML;Droge handen;11.01;12.95;-0.15;0.18
2906964;NAQI MASSAGE LOTION LIGHT NF 500ML;Verzorging lichaam;12.82;15.08;-0.15;0.18
3037702;LAINO DEODORANT PERZIK-PASSIEVRUCHT ROLL-ON 50ML;Lotion en roller;5.06;5.95;-0.15;0.18
2766418;LIERAC MASKER COMFORT ROMIGE HYDRA CREME TUBE 50ML;Reinigen;18.27;21.50;-0.15;0.18
2741106;APIVITA EXPRESS MASKER HUID JONG-VET PROP. 2X8ML;Masker en serum;2.90;3.41;-0.15;0.18
2035202;LRP TOIL PHYSIO GOMMAGE SURFIN 50ML;Reinigen;11.20;14.00;-0.20;0.25
3173747;CYSTIPHANE BIORGA SHAMPOO A/CHUTE FL 200ML;Haarverzorging;11.05;13.00;-0.15;0.18
2801694;KORRES KM LIPBUTTER STICK MANDARIN IP15 PEACH 5ML;Lippen;9.13;10.15;-0.10;0.11
2222628;FORCAPIL CAPS 60;Haarverzorging;13.05;15.35;-0.15;0.18
3296332;BODYSOL DOUCHEGEL DETOX 500ML;Bad en douche;7.64;8.99;-0.15;0.18
2848943;URIAGE BARIESUN KIND SPRAY IP50+ MELK 200ML;Baby en/of kind;18.61;21.90;-0.15;0.18
2988368;KORRES KM NAIL COLOUR 05 BABY PINK 10ML;Nagels;7.65;9.00;-0.15;0.18
2884070;LRP ANTHELIOS XL LIPSTICK IP50+;Beschermingssticks;7.20;9.00;-0.20;0.25
1169036;EUBOS ZEEP VLOEIBAAR BLAUW N/PARF REFILL 400ML;Bad en douche;7.22;8.50;-0.15;0.18
2750339;DENSITIUM SERUM ANTI VEROUDERING POMPFL 30ML;Masker en serum;45.49;50.55;-0.10;0.11
429936;WELEDA HUIDOLIE CITRUS 100ML;Verzorging lichaam;12.74;14.99;-0.15;0.18
2157485;NEOSTRATA GEL PLUS 15 AHA 100ML;Acné-huid;30.43;35.80;-0.15;0.18
3278777;RAIN PHARMA HAND WASH SWEET MORNING MINT 300ML;Ontsmetting en zeep;15.26;17.95;-0.15;0.18
2900801;BIODERMA PHOTODERM BRONZ IP50+ ZONNESPRAY 200ML;Lichaam en gelaat;20.54;24.17;-0.15;0.18
1753078;COMPEED BLAREN OP TENEN VERB EXTRA KLEIN 8;Kloven, eelt, blaren en likdoorns;5.91;6.95;-0.15;0.18
2716132;NOVIDERM BOREADE R HERSTEL.VERZACHT.VERZ. CR 40ML;Acné-huid;11.35;13.35;-0.15;0.18
2761518;LRP TOLERIANE TEINT CORR.COMP.IP35 10 IVOIRE 9G;Gezicht;16.24;20.30;-0.20;0.25
1074285;KNEIPP DOUCHE CREME AMANDEL 200ML;Bad en douche;5.94;6.99;-0.15;0.18
3122652;HELIOCARE SPRAY IP50 200ML;Lichaam en gelaat;25.07;29.50;-0.15;0.18
2761369;Eye Care Ral 652 Shiny Rose Tendre 4g;Lippen;21.84;22.99;-0.05;0.05
2880649;LACRYSTAT COLLYRE FL 2X10ML NF;Ogen;7.79;9.16;-0.15;0.18
3010394;LISANDRA COSMENAIL VAO 21 BRUN 5ML;Nagels;4.21;4.95;-0.15;0.18
2353712;LAINO DEODORANT ALUINSTEEN STICK 75G;Stick;8.46;9.95;-0.15;0.18
397448;BALNEUM BASIS BADOLIE 500ML;Bad en douche;16.05;18.88;-0.15;0.18
1550813;XLOR LOTION SCHEREN-AFTER SHAVE 30ML;Voor of na het scheren;16.74;19.70;-0.15;0.18
2371219;BIODERMA SENSIBIO LIGHT CREME GEV.H-NH-GEM.H 40ML;Beschadigde en geirriteerde huid;17.18;20.21;-0.15;0.18
1461029;NITCOMB M2 LUIZENKAM;Haarverzorging;8.41;9.89;-0.15;0.18
2456390;EYE CARE FDT COMPACT DUNE NORMALE DROGE HUID 10G;Gezicht;19.51;22.95;-0.15;0.18
2896777;KORRES KH MASK SUNFLOWER&TEA 125ML;Haarverzorging;13.60;16.00;-0.15;0.18
2575876;ADERMA EXOMEGA CREME 200ML;Verzorging lichaam;16.91;19.90;-0.15;0.18
2741619;APIVITA LIP CARE LIPSTICK HONING BIO-ECO 4,4G;Lippen;4.25;5.00;-0.15;0.18
469254;LAINO KLEI SCHOONHEIDSMASK.TBE 350G;Reinigen;7.22;8.50;-0.15;0.18
2036119;LRP EFFACLAR MICELLAIRE WATER ZUIVEREND 200ML;Acné-huid;11.84;14.80;-0.20;0.25
2877587;LRP POSTHELIOS 400ML;After sun;19.60;24.50;-0.20;0.25
2135234;NEUTROGENA INTENS HERSTEL HANDCRM 15ML CFR 3214806;Droge handen;6.76;7.95;-0.15;0.18
3321817;ACTIPUR MICELLAIRE OPL. REINIG. ZUIVEREND FL 100ML;Acné-huid;7.52;8.85;-0.15;0.18
2747822;ADERMA EXOMEGA REINIGINGSOLIE 500ML;Bad en douche;15.21;17.90;-0.15;0.18
2380079;EYE CARE OOGPOTLOOD EMERAUDE 718;Ogen;10.62;12.50;-0.15;0.18
3245578;VICHY NORMADERM GEL ZUIVEREND 3IN1 125ML;Acné-huid;11.16;13.95;-0.20;0.25
3014529;LIERAC DEMAQ JEUX SOIN CILS WTP FL 100ML;Reinigen;12.75;15.00;-0.15;0.18
2536332;SQUAPHANE S SH KERATOREGULEREND FORT 125ML;Haarverzorging;10.20;12.00;-0.15;0.18
1494830;EYE CARE MASCARA 208 SAPHIR 9G;Ogen;17.81;20.95;-0.15;0.18
283747;DERMAGOR TOILETMELK COLLAGEEN 100ML;Reinigen;16.80;19.76;-0.15;0.18
3021391;BODYSOL HERSTELLENDE LIPSTICK 1+1 PROMO;Lippen;3.61;4.25;-0.15;0.18
2988459;KORRES KM NAIL COLOUR 43 CORAL PINK 10ML;Nagels;7.65;9.00;-0.15;0.18
2174738;DAX ZACHTE HANDZEEP + POMPJE 600ML 0411;Ontsmetting en zeep;8.07;9.50;-0.15;0.18
2492858;KORRES KM LIP BUTTER POMEGRANATE 6G;Lippen;8.92;10.50;-0.15;0.18
2749166;ROGE CAVAILLES GEL INTIEM TOILET FRISHEID 500ML;Verzorging lichaam;11.81;13.90;-0.15;0.18
2030971;LRP EFFACLAR LOTION ASTRINGENTE 200ML;Acné-huid;11.84;14.80;-0.20;0.25
3270378;URIAGE HYSEAC R HERSTRUCTURERENDE VERZORG. 40ML;Acné-huid;11.90;14.00;-0.15;0.18
3190832;BODYSOL SUN MILK IP50+ 250ML NEW;Lichaam en gelaat;16.96;19.95;-0.15;0.18
3236130;AVENE PHYSIOLIFT COMBLEUR CREME 15ML;Dag- en nachtcrème;26.95;35.00;-0.23;0.30
2665206;LAINO HANDCREME KARITE PRO INTENS TUBE 75ML;Droge handen;5.06;5.95;-0.15;0.18
2974400;LIERAC SUNIFIC OLIE IP15 FL 125ML;Lichaam en gelaat;23.80;28.00;-0.15;0.18
3311909;TRAVELBAC PROBIO HANDGEL 30ML;Ontsmetting en zeep;3.82;4.50;-0.15;0.18
3033685;VICHY FDT TEINT IDEAL CREME 45 30ML;Gezicht;17.88;22.35;-0.20;0.25
2603256;MUSTELA PA STELATOPIA EMOLLIERENDE CREME NF 200ML;Verzorging lichaam;13.43;15.80;-0.15;0.18
2058923;SIXTUWHOL STERK 100ML;Kloven;13.26;15.60;-0.15;0.18
2224715;DERMOLIN ZEEPVRIJ WASTABLET N/PARF NF 100G;Bad en douche;2.97;3.50;-0.15;0.18
3115490;AXIDEO SPORT DEO SPRAY 150ML;Verstuiver;8.41;9.90;-0.15;0.18
2703338;BODYSOL MEN PR DOUCHEGEL MENTHOL FRESH 250ML;Hygiëne;4.24;4.99;-0.15;0.18
2174746;DAX ZACHTE HANDZEEP 5000ML C243;Bad en douche;22.10;26.00;-0.15;0.18
3117009;NEOSTRATA SKIN ACTIVE LINE LIFT STEP 2 POMP 15G;Dag- en nachtcrème;41.65;49.00;-0.15;0.18
1544881;COMPEED PLEISTER BLAREN SMALL 6;Kloven, eelt, blaren en likdoorns;5.91;6.95;-0.15;0.18
3213410;Xailin Ha 0,2% 10ml;Ogen;14.10;14.84;-0.05;0.05
3403953;AVENE COLD CREAM LIPSTICK VOEDEND NF 4G;Lippen;5.20;6.75;-0.23;0.30
3365905;RAIN PHARMA ZERO TOLERANCE BODY WASH 250ML;Bad en douche;15.26;17.95;-0.15;0.18
2741346;APIVITA QUEEN BEE CR EXFOL.ZACHT VERJONGEND 100ML;Dag- en nachtcrème;36.46;42.90;-0.15;0.18
2643328;BIODERMA PHOTODERM BRONZ IP30 SPRAY 200ML;Lichaam en gelaat;19.77;23.26;-0.15;0.18
3114238;LACRIFRESH GUTT 15ML;Ogen;7.14;8.40;-0.15;0.18
2085934;DERMAVITAL WASLOTION STANDAARD 500ML+POMP;Bad en douche;3.58;4.21;-0.15;0.18
2465664;BIODERMA SEBIUM MAT KLEURLOOS CR VETTE HUID 40ML;Dag- en nachtcrème;14.57;17.14;-0.15;0.18
2783124;PURESSENTIEL A/LUIZEN 100ML MET KAM;Haarverzorging;20.23;23.80;-0.15;0.18
2801710;KORRES KM LIPBUTTER STICK MANDARIN IP15 PURPLE 5ML;Lippen;9.13;10.15;-0.10;0.11
3038072;AVENE ZON EMULSIE IP20 Z/PARABEEN 50ML;Gelaat 50+ en 30+;13.47;17.50;-0.23;0.30
449629;DERMAGOR WASTABLET ZONDER ZEEP 150G;Bad en douche;9.12;10.73;-0.15;0.18
2507226;EUCERIN SUN ALLERGY CREAM GEL IP25 150ML;Lichaam en gelaat;16.57;19.50;-0.15;0.18
3254810;WELEDA AMANDEL DOUCHECREME VERZACHTEND 200ML;Bad en douche;6.79;7.99;-0.15;0.18
3364239;RAIN PHARMA INVIGORATING HAND POLISH 200ML;Droge handen;31.41;36.95;-0.15;0.18
2985083;KORRES KB BODY BUTTER JASMIJN 125ML;Verzorging lichaam;14.58;17.15;-0.15;0.18
3109998;DEUMAVAN INTIEME ZALF NATUUR TUBE 125ML;Verzorging lichaam;13.30;14.00;-0.05;0.05
1521996;BIODERMA ATODERM OVERVETTE ZEEP DROGE HUID 150G;Bad en douche;6.11;7.19;-0.15;0.18
2741189;APIVITA EXPRESS MASKER HYDRA&VOEDEND HONING 2X8ML;Masker en serum;2.90;3.41;-0.15;0.18
2682532;CICALEINE KLOVEN TUBE 50ML 106100;Kloven, eelt, blaren en likdoorns;14.70;17.30;-0.15;0.18
2743078;APIVITA BODY ENERGY LICHAAMSMELK 200ML;Verzorging lichaam;11.03;12.98;-0.15;0.18
2520153;URIAGE HYSEAC MASKER ZACHT GOMMEND GEM H-VH 100ML;Reinigen;10.62;12.50;-0.15;0.18
2520138;URIAGE HYSEAC FLUIDE SOL IP30 GEM H-VH TUBE 50ML;Gelaat 50+ en 30+;11.90;14.00;-0.15;0.18
1153204;EUBOS MED FEMININ WASEMULSIE 200ML;Verzorging lichaam;5.86;6.90;-0.15;0.18
2962694;EYE CARE VAO ULTRA SILIC.UREA 1521 VELOURS 4,7ML;Nagels;10.16;11.95;-0.15;0.18
2743177;APIVITA EXPRESS MASKER DETOX. SCRUB ZEEWIER 8G;Reinigen;4.58;5.39;-0.15;0.18
2026664;VICHY DEO GEV. H-GEEPILEERD ROLLER 48U 50ML;Lotion en roller;9.80;12.25;-0.20;0.25
2966711;APIVITA SUN ZONNECR. BABY-KIDS BIO-ECO 100ML;Baby en/of kind;22.95;27.00;-0.15;0.18
3034501;PURESS A/LUIZEN POUDOUX SHAMPOO BIO 200ML;Haarverzorging;10.98;12.20;-0.10;0.11
1495035;EYE CARE LINER 704 VERT;Ogen;10.62;12.50;-0.15;0.18
2174647;DAX ALCOLIQUID 70% + POMPJE 600ML 0405;Ontsmetting en zeep;9.27;10.91;-0.15;0.18
3290996;DERMOLIN BAD DOUCHEGEL NF 200ML;Bad en douche;6.37;7.50;-0.15;0.18
3042918;VICHY SOIN CORP. CELLUDESTOCK SERUM FLASH 125ML;Verzorging lichaam;26.04;32.55;-0.20;0.25
2994580;PARANIX DUO LOTION + AFTER SHAMPOO;Haarverzorging;15.26;17.95;-0.15;0.18
2562171;BIODERMA PHOTODERM AFTER SUN MELK 200ML;After sun;12.92;15.20;-0.15;0.18
3092541;LISANDRA COSMENAIL VAO MINI 112 VERT BRONZE 5ML;Nagels;4.21;4.95;-0.15;0.18
2062115;KNEIPP MASSAGE OLIE AMANDEL 100ML;Verzorging lichaam;8.49;9.99;-0.15;0.18
3162831;AVENE HOMME AFTERSHAVE BALSEM NF 75ML;Voor of na het scheren;12.70;16.50;-0.23;0.30
3341740;AVENE LOTION MICELLAIRE 200ML;Reinigen;11.93;15.50;-0.23;0.30
3048402;STOKOLAN CLASSIC PARF TUBE 100ML;Droge handen;5.64;6.64;-0.15;0.18
2193316;BETA CAROTENE CAPS 120 DEBA;Zonnebank;25.75;30.30;-0.15;0.18
3032216;EYE CARE VAO PERFECTION 1303 BLANC NACRE 5ML;Nagels;10.92;12.85;-0.15;0.18
2032225;VICHY PT REINIGING INTEGRAAL 3IN1 300ML;Reinigen;12.20;15.25;-0.20;0.25
3197373;AVENE HYDRANCE PERFECTEUR TEINT RIJK IP30 TB 40ML;Dag- en nachtcrème;16.94;22.00;-0.23;0.30
2951622;LIERAC HYDRA CHRONO LIPPENBALSEM FONDANT ROSE 4,5G;Lippen;12.75;15.00;-0.15;0.18
3066990;LRP ANTHELIOS LAIT COMPACT IP50+ 40ML;Baby en/of kind;10.00;12.50;-0.20;0.25
