CNK;Naam;Subcategorie;Nieuwe prijs;Oude prijs;Korting;Korting
335406;LACHESIS MUTUS 15CH GL BOIRON;Globulen;3.82;4.50;-0.15;0.18
325290;PHOSPHORICUM ACIDUM 200K GL BOIRON;Globulen;3.82;4.50;-0.15;0.18
3100963;CALADIUM SEGUINUM 5CH GR 4G BOIRON;Granulen;4.84;5.70;-0.15;0.18
461202;TRAUMEEL S COMP 50 HEEL;Spieren en gewrichten;11.65;12.95;-0.10;0.11
1700640;GALIUM-HEEL N GUTT 30ML HEEL CFR 0457-911;Luchtwegen en weerstand;12.28;14.45;-0.15;0.18
1655125;VITIDOR TABL 50G WELEDA;Maag, darm en lever;16.36;19.25;-0.15;0.18
3131554;AETHUSA CYNAPIUM 30K GR 4G BOIRON;Granulen;6.59;7.75;-0.15;0.18
1303320;LEHNING L114 GUTT 30ML;Maag, darm en lever;8.97;10.55;-0.15;0.18
332049;PLATINA MK GL BOIRON;Globulen;3.82;4.50;-0.15;0.18
458489;YPSILOHEEL COMP 50 HEEL;Stress en slapeloosheid;11.01;12.95;-0.15;0.18
3339884;SABADILLA OFFICINARUM 200K GR 4G BOIRON;Granulen;5.13;5.70;-0.10;0.11
327023;CALCAREA CARBONICA OSTREARUM 30CH GL BOIRON;Globulen;3.82;4.50;-0.15;0.18
332155;PLUMBUM METALLICUM MK GL BOIRON;Globulen;3.82;4.50;-0.15;0.18
3100575;LYCOPODIUM CLAVATUM 9CH GR 4G BOIRON;Granulen;3.99;4.70;-0.15;0.18
3105145;FERRUM METALLICUM 200K GR 4G BOIRON;Granulen;4.84;5.70;-0.15;0.18
3098357;APIS MELLIFICA 6K GR 4G BOIRON;Granulen;3.99;4.70;-0.15;0.18
1312610;LEHNING CLIMAXOL GUTT 30ML;Druppels;8.97;10.55;-0.15;0.18
1400340;LUFFEEL COMP 50 HEEL;Allergie;9.73;11.45;-0.15;0.18
1262955;UNDA COMPLEXE N1 20ML UNDA;Urinewegen-Drainage;8.63;10.15;-0.15;0.18
434126;ALLIUM COMPLEX GUTT 30ML BOIRON;Luchtwegen en weerstand;10.16;11.95;-0.15;0.18
3148996;RIBES NIGRUM GEMMO D1 60ML BOIRON;Spieren en gewrichten;10.16;11.95;-0.15;0.18
457713;AESCULUS-HEEL COMP. GUTT 30ML HEEL;Hart en bloedvaten;12.71;14.95;-0.15;0.18
1427061;VANOCOMPLEX N48 PULMOSOL GUTT 50ML UNDA;Luchtwegen en weerstand;12.75;15.00;-0.15;0.18
3108008;POUMON HISTAMINE 200K GR 4G BOIRON;Granulen;4.84;5.70;-0.15;0.18
3107737;PETROLEUM 200K GR 4G BOIRON;Granulen;4.84;5.70;-0.15;0.18
1333103;LYMPHOMYOSOT COMP 100 HEEL;Vrouwelijke problemen;17.81;20.95;-0.15;0.18
1426584;VANOCOMPLEX N16 CIMISAN GUTT 50ML UNDA;Vrouwelijke problemen;12.75;15.00;-0.15;0.18
3100609;LYCOPODIUM CLAVATUM 15CH GR 4G BOIRON;Granulen;3.99;4.70;-0.15;0.18
461061;HEPEEL COMP 250 HEEL;Maag, darm en lever;37.95;39.95;-0.05;0.05
3099942;GELSEMIUM SEMPERVIRENS 30K GR 4G BOIRON;Granulen;3.99;4.70;-0.15;0.18
342824;IGNATIA AMARA 15CH GL BOIRON;Globulen;3.82;4.50;-0.15;0.18
457879;EUPHORBIUM-HEEL COMP.S GUTT 30ML HEEL;Luchtwegen en weerstand;12.28;14.45;-0.15;0.18
343558;LYCOPODIUM CLAVATUM MK GL BOIRON;Globulen;3.82;4.50;-0.15;0.18
3101151;CALCAREA FLUORICA 200K GR 4G BOIRON;Granulen;4.84;5.70;-0.15;0.18
1532118;VOGEL ALCHEMILLA COMPLEX 100ML;Spieren en gewrichten;13.56;16.95;-0.20;0.25
3106366;IPECA 9CH GR 4G BOIRON;Granulen;4.84;5.70;-0.15;0.18
3148996;RIBES NIGRUM GEMMO D1 60ML BOIRON;Allergie;10.16;11.95;-0.15;0.18
