CNK;Naam;Subcategorie;Nieuwe prijs;Oude prijs;Korting;Korting
2412161;ZWARTE RADIJS BIO AMP 20X10ML BIOTECHNIE;Maag en darmen;7.05;8.30;-0.15;0.18
30858;SALUS EPRESAT MULTIVITAMINE ELEXIR 250ML;Energiegebrek;14.83;17.45;-0.15;0.18
2995819;ARNIDOL GEL STICK 15ML;Spieren en gewrichten;8.41;9.90;-0.15;0.18
2667012;KNEIPP THEE CRANBERRY ZAKJE 15;Thees;3.39;3.99;-0.15;0.18
1590843;CRANBERRY JUICE 500ML METAGENICS;Urinewegen;10.79;11.99;-0.10;0.11
2399020;PURESSENTIEL STRESS ROLLER 12 ESS OLIE 5ML;Per klacht;9.77;11.50;-0.15;0.18
2825446;PURESSENTIEL BLOEDCIRCULATIE SPRAY 17ESS OLIE100ML;Per klacht;18.19;21.40;-0.15;0.18
3431277;SORIA 18-C AGILMEN XXI CAPS 30;Hart en bloedvaten;16.79;19.75;-0.15;0.18
2891364;ABOCA SOLLIEVO COMP 45;Maag en darmen;6.88;8.10;-0.15;0.18
2972172;ORTIS HAPPY&GO COMP 5X12;Mentale klachten;13.13;15.45;-0.15;0.18
2899912;FYTOBELL ESCHOLCIN NF GUTT 100ML;Mentale klachten;13.81;16.25;-0.15;0.18
2711349;CRAN-FYT TABL 60;Urinewegen;14.41;16.95;-0.15;0.18
3273117;PELARGAN CAPS 30;Winterkwalen en weerstand;12.24;14.40;-0.15;0.18
2953933;ORTIS METHODDRAINE ZUIVEREND LEVER COMP 4X15;Maag en darmen;11.45;13.47;-0.15;0.18
2659696;ELUSANES KONINGINNENBRIJ VLB STICK 15X1500MG;Winterkwalen en weerstand;14.36;16.90;-0.15;0.18
2797777;KANEEL CEYLON SCHORS ESS OLIE 30ML PRANAROM;Per klacht;69.48;81.74;-0.15;0.18
2695005;DAMIANA-1000 V-CAPS 60 DEBA;Mannelijke problemen;15.64;18.40;-0.15;0.18
2165025;SORIA NATUSOR VENKEL KRUIDENMENGELING THE INF 20;Vrouwelijke problemen;3.36;3.95;-0.15;0.18
1682921;LAXARINE KONFITUUR PRUIM-TAXARIN 230G;Maag en darmen;6.66;7.83;-0.15;0.18
2851459;HERBAMOL 502 DETOX FASE I & II 250ML;Zuiveringskuur;25.65;28.50;-0.10;0.11
3076536;FYTOLEUM MULTIVITAMINERAL DUINDOORNOLIE CAPS 40;Vrouwelijke problemen;37.05;39.00;-0.05;0.05
3178142;PURESSENTIEL HAAR & NAGELS VERSTERKEND CAPS 30;Huid, haren & nagels;22.86;26.90;-0.15;0.18
2995579;CHOLESFYTOL COMP 84;Hart en bloedvaten;21.08;24.80;-0.15;0.18
2898963;FYTOBELL ECHINABELL NF 100ML;Winterkwalen en weerstand;13.81;16.25;-0.15;0.18
2385722;DYSTOLISE COMP 30 NF;Mentale klachten;22.43;24.92;-0.10;0.11
3151040;PRIMULAX KIDS 120ML;Maag en darmen;12.61;14.84;-0.15;0.18
3148954;VALERIANA OFFICINALIS TM 60ML BOIRON;Mentale klachten;10.16;11.95;-0.15;0.18
2982106;IMUNIXX PLUS TABL 42;Winterkwalen en weerstand;33.91;39.90;-0.15;0.18
1740661;BACH FLOWER REMEDIE 30 SWEET CHESTNUT 20ML;Moedeloosheid;10.16;11.95;-0.15;0.18
1283787;FARMATINT KASTANJEBR.LICHT ACAJ. 5M;Huid, haren & nagels;11.73;13.80;-0.15;0.18
2937043;SUPER DIET ACEROLA BIO 1000 COMP 24;Winterkwalen en weerstand;12.17;14.32;-0.15;0.18
1304112;SILYMAR CAPS 90X150MG DEBA;Maag en darmen;18.61;21.90;-0.15;0.18
1180884;SAWES BONBON EUCALYPTUS ZS BLIST 10;Winterkwalen en weerstand;0.72;0.85;-0.15;0.18
3259280;ARKOGELULES RHODIOLE 150;Mentale klachten;26.60;31.30;-0.15;0.18
