CNK;Naam;Subcategorie;Nieuwe prijs;Oude prijs;Korting;Korting
2983807;Q10 QUATRAL CAPS 2X84;Tonica;41.30;48.59;-0.15;0.18
2415107;BOTA HANDPOLSBAND 201 SKIN UNIVERSEEL XL;Pols, hand en duim;30.26;35.60;-0.15;0.18
3039724;TRISPORTPHARMA ADAPTOSIR BLISTER CAPS 30;Tonica;35.10;39.00;-0.10;0.11
3194289;ALTISA IJZER BISGLYCINAAT 25MG TABL 90;Ijzer;15.57;17.30;-0.10;0.11
1752427;PSB SPORT BRACE DUIM LINKS 19-22CM M;Pols, hand en duim;38.25;45.00;-0.15;0.18
2605152;AKIL SPORT TANO LOTION FL 100ML 10374;Massage;6.97;8.20;-0.15;0.18
2720159;Crea-rib Pdr Pot 250g Cfr 3381530;Melkzuurpreventie;34.15;37.95;-0.05;0.11
3316197;MANNAVITAL MAGNESIUM PLATINUM NF TABL 90;Spierkrampen;14.41;16.95;-0.15;0.18
2562056;MAGNECAPS SPIERKRAMPEN BRUISTABL 30;Magnesium;14.18;16.68;-0.15;0.18
2371276;CHONDRO-AID FORT CAPS 60;Gewrichten;12.71;14.95;-0.15;0.18
1758978;PROMAGNOR CITROEN Z/SUIKER KAUWTABLETTEN 30X450MG;Melkzuurpreventie;13.56;15.95;-0.15;0.18
1429968;HARPAGOSELEN GELULES 45;Spierpijn;10.28;12.09;-0.15;0.18
3353182;DR ERNST FLEXI CREAM 100ML;Massage;11.86;13.95;-0.15;0.18
3168093;ETIXX ISOTONIC JUNIOR 400G;Vochtbalans;9.59;11.99;-0.20;0.25
3;COBAN 3M REKVERBAND RED ROL 7,5CMX4,57M 1583/R;Tape en windels;3.27;3.85;-0.15;0.18
1617646;GIBORTHO KNIEBAND LIGAMENT WIT 38-43 T3 6494;Knie;59.91;70.48;-0.15;0.18
2961126;PSB SPORT BRACE ANKLE 8 SMALL LINKS;Enkel en hiel;36.97;43.50;-0.15;0.18
2696177;FORMAG COMP 90;Magnesium;21.16;24.90;-0.15;0.18
3344413;ALPHAMILIALE ALPHA SPORT 30ML;Spierpijn;11.86;13.95;-0.15;0.18
318923;NAQI INSTANT COLD PACK 15X17CM;Spierpijn;3.18;3.74;-0.15;0.18
2687648;VISTA FERRUM TABL 30;Ijzer;9.31;10.95;-0.15;0.18
2375459;ZMA CAPS 90;Krachtboosters;19.35;21.50;-0.10;0.11
2527315;ETIXX CHONDRO GLUCO 1500 TABL 90;Gewrichten;36.79;45.99;-0.20;0.25
194985;NAQI WARMING UP GEL 200ML;Massage;11.02;12.97;-0.15;0.18
2240463;BIO RHUMAL FORTE TABL 180X1500MG;Gewrichten;50.96;59.95;-0.15;0.18
2739274;PROMAGNOR CAPS 60X450MG;Spierkrampen;25.60;28.45;-0.10;0.11
3104585;DYNATONIC ENERGY+ CAPS 60;Tonica;16.91;19.90;-0.15;0.18
429738;BOTA EL-BOTA SHORT SK N1;Elleboog;13.17;15.50;-0.15;0.18
1478825;FYTOSTAR GINSENG FORTE 500ML;Tonica;22.91;26.95;-0.15;0.18
2602902;FYTOSIL ORGANISCH SILICIUM+HEERMOES&BRANDNET. 1L;Gewrichten;36.76;38.70;-0.05;0.05
2157659;MCDAVID ANKLE SUPPORT BLACK/SCARLET L 431;Enkel en hiel;19.51;22.95;-0.15;0.18
1682723;CREATINE PDR 500G;Krachtboosters;20.70;23.00;-0.10;0.11
2415172;BOTA HANDPOLSBAND 211 SKIN UNIVERSEEL L;Pols, hand en duim;36.63;43.10;-0.15;0.18
2755726;ETIXX CARBO GY PDR POT 1KG;Sportenergie;22.39;27.99;-0.20;0.25
3384849;ETIXX MAGNESIUM INSTANT TROPICAL STICKS 30;Melkzuurpreventie;16.99;19.99;-0.15;0.18
1044502;BOTA ORTHO DF+BALEINEN 1000 SK N6;Knie;25.58;30.10;-0.15;0.18
1690858;BIOSTAR ALCHEMAX GEWRICHTSPROBLEMEN CAPS 60;Gewrichten;16.96;19.95;-0.15;0.18
2955896;VIVADIS MACA IMPERIAL CAPS 90X500MG;Tonica;24.65;29.00;-0.15;0.18
2901908;ERGYSPORT OLIGOMAX 500ML;Tonica;19.55;23.00;-0.15;0.18
1172279;ISOSTAR LONG ENERGY ORANGE 790G;Sportenergie;13.31;14.01;-0.05;0.05
114074;GLUCOPUR GLUCOSE PDR 250G 5166;Sportenergie;2.38;2.65;-0.10;0.11
1277771;L-GLUTAMINE CAPS 60X500MG DEBA;Recuperatie;11.81;13.90;-0.15;0.18
679852;BOTA HANDPOLSBAND+DUIM 100 SKIN N5;Pols, hand en duim;20.91;24.60;-0.15;0.18
386482;BOTA PLUS ELLEBOOG SK XL;Elleboog;12.32;14.50;-0.15;0.18
3395894;ETIXX ISOTONIC POWDER ORANGE-MANGO 1KG;Vochtbalans;19.19;23.99;-0.20;0.25
1623735;Q10 PLUS CAPS 90 149 METAGENICS;Tonica;42.92;50.49;-0.15;0.18
