CNK;Naam;Subcategorie;Nieuwe prijs;Oude prijs;Korting;Korting
2713584;INOVANCE OMEGA 3 EPA CAPS 60 CA093N;Cholesterol;19.80;22.00;-0.10;0.11
2762151;MAGNESIUM B6 BLISTER CAPS 2X30;Stress;8.92;10.50;-0.15;0.18
3365327;ORTHO D3 20ML ORTHONAT;Vitaminen;18.70;22.00;-0.15;0.18
2741981;OMNIBIONTA PRONATAL METAFOLIN+DHA TABL 60+CAPS 60;Zwangerschap en borstvoeding;35.16;43.95;-0.20;0.25
3408234;VITAFYTEA MORE ENERGY BOOSTER PDR STICK 20;Energiegebrek;8.49;9.99;-0.15;0.18
3322518;GASTROVAL BLISTER CAPS 15;Spijsvertering;7.64;8.99;-0.15;0.18
2282721;PREVALON ISO NF COMP 60;Menopauze;24.50;27.22;-0.10;0.11
2184828;PHARMAGENERIX OMEGA 3 PG CAPS 150;Geheugen;20.48;24.10;-0.15;0.18
2666147;UDO S CHOICE ADVANCED ADULTS PROBIOTIQUE V-CAPS 30;Probiotica;22.06;25.95;-0.15;0.18
2875896;ZINK EXTRA NATURAL ENERGY CAPS 180;Huid;21.24;24.99;-0.15;0.18
2409001;ZENIXX 500 CAPS 120X 500MG;Stress;42.29;49.75;-0.15;0.18
2681765;SABALCARE BLISTER SOFTGELS 60 NUTRISAN;Prostaat;26.14;29.04;-0.10;0.11
1777192;PHARMAGENERIX PERFLORE PG 135MG CAPS 50;Diarree;8.24;9.70;-0.15;0.18
3225182;C-MED LONG ACTION PQ BLISTER COMP 6X15;Vitaminen;16.96;19.95;-0.15;0.18
2898435;CELBESCHERMING TABL 45 BIOVER;Anti-oxidanten;8.49;9.99;-0.15;0.18
2867224;NATURA MAGNESIUM NF ENERGETICA 100ML;Mineralen;14.92;17.55;-0.15;0.18
3033107;ALLESTAX DOUBLE FRESHNESS GEL TUBE 125ML;Circulatie;12.32;14.49;-0.15;0.18
3044443;CURCUMIX PLUS COMP 60 PHARMANUTRICS;Artrose / slijtage;27.54;32.40;-0.15;0.18
2727907;MAGNIXX TABL 30X1242MG;Stress;7.86;9.25;-0.15;0.18
2105344;SORIA TOTAL COMPLEX TABL 60 1204;Vitaminen;12.71;14.95;-0.15;0.18
2222628;FORCAPIL CAPS 60;Nagels en haren;13.05;15.35;-0.15;0.18
2340321;ESTROBALANCE MANGO PDR 644G 4332 METAGENICS;Menopauze;77.84;86.49;-0.10;0.11
3216009;DHA 200 POT CAPS 60 19753 METAGENICS;Circulatie;34.64;38.49;-0.10;0.11
3277217;NEPTUNE KRILL OIL LICAPS V-CAPS 180 NUTRISAN;Cholesterol;72.67;80.75;-0.10;0.11
3350014;GLUCAN PLUS V-CAPS 14 PHARMANUTRICS;Afweer;11.81;13.90;-0.15;0.18
2755312;EPA OMEGA 3 + DHA CAPS 180X500MG CFR 2899565;Depressie;16.96;19.95;-0.15;0.18
2833978;MAGNESIUM OK TABL 90+30 6211;Mineralen;18.23;21.45;-0.15;0.18
2680593;DEFATYL PLUS DRINKB FLESJES 15X15ML;Energiegebrek;14.02;16.50;-0.15;0.18
3262524;DAVITAMON ADULT 50+ V1 COMP 30;Vitaminen;16.96;19.95;-0.15;0.18
3111937;LACTOPHAR JUNIOR BLISTER GEL 2X10;Afweer;8.46;9.95;-0.15;0.18
2312460;PROBACTIOL CONCENTRATE PDR 50G 4218 METAGENICS;Probiotica;31.49;34.99;-0.10;0.11
2527158;ETIXX ENERGY BOOSTER GUARANA TABL 90;Energiegebrek;35.99;44.99;-0.20;0.25
3081221;SERIANE 24H - 24U BLISTER GEL 2X15;Depressie;14.36;16.90;-0.15;0.18
2955581;TONIXX GOLD CAPS 40;Energiegebrek;21.20;26.50;-0.20;0.25
2060986;ZIBOFEN TABL 60X1100MG 0310;Spierpijn en stijfheid;26.10;29.00;-0.10;0.11
1574854;PROBIOTICAL GEL 20;Diarree;13.91;16.36;-0.15;0.18
1574268;MACA BIOTICS COMP 60;Energiegebrek;38.06;44.78;-0.15;0.18
3161593;SORIA CYNASTAN COMP 60X600MG;Cholesterol;14.41;16.95;-0.15;0.18
2655033;LACTIBIANE REFERENCE ZAKJE 30X2,5G;Diarree;26.77;31.50;-0.15;0.18
2454619;OMEGA 3 MAGNUM BE LIFE CAPS 90;Circulatie;13.77;15.30;-0.10;0.11
3495777;ACEROLA C MAX COMP 150 ORTHONAT;Afweer;27.74;32.64;-0.15;0.18
2524007;ERGYTONYL FL 250ML;Geheugen;15.30;18.00;-0.15;0.18
3248523;MAGNESIUM VLOKKEN 750G DEBA;Mineralen;12.32;14.50;-0.15;0.18
2655884;LACTIBIANE REFERENCE GEL 10X2.5G;Afweer;10.11;11.90;-0.15;0.18
3158516;ARMOLIPID PLUS TABL 60;Cholesterol;37.24;39.20;-0.05;0.05
3377470;PHAR-MI-LAN IJZER-B12-FOLIUM 500ML;Mineralen;15.26;17.95;-0.15;0.18
233577;SE ZYME FORTE BIOTICS COMP 100;Mineralen;20.37;23.97;-0.15;0.18
2828713;CHLORELLA PURE TABL 240;Energiegebrek;20.82;24.50;-0.15;0.18
2311074;FOLIUM PLUS 800Y COMP 100 DEBA;Vitaminen;10.88;12.80;-0.15;0.18
2655231;LACTIBIANE REFERENCE GEL 30X2.5G;Afweer;24.65;29.00;-0.15;0.18
3278470;RAIN PHARMA MIGHTY NIGHT COMP 60;Mineralen;24.61;28.95;-0.15;0.18
1629088;IODINE & TYROSINE CAPS 60 87 METAGENICS;Mineralen;22.94;26.99;-0.15;0.18
2214799;OM3 JUNIOR BLISTER CAPS 60;ADD / ADHD;16.89;19.87;-0.15;0.18
2982619;ALTISA ZINK BISGLYCINAAT 40 MG COMP 90;Afweer;22.82;25.36;-0.10;0.11
3410479;VIT C 1000 PLUS COMP 120 PHARMANUTRICS;Vitaminen;19.97;23.50;-0.15;0.18
3275641;ENZYMIX PLUS V-CAPS 90 PHARMANUTRICS;Spijsvertering;35.95;39.95;-0.10;0.11
3087921;SIMILASE TOTAL NF CAPS 120 METAGENICS;Spijsvertering;43.34;50.99;-0.15;0.18
1703305;VITAFYTEA UNCARIA PRO TABL 30;Energiegebrek;21.67;25.50;-0.15;0.18
2603462;ENCOZYME NADH 5MG GESTABILIS. SPRINGFIELD CAPS 30;Geheugen;16.96;19.95;-0.15;0.18
2314250;B-MAGNUM TABL 90X450MG;Mineralen;29.65;32.95;-0.10;0.11
2971281;PHYSALIS Q10 FORTE CAPS 30;Vitaminen;14.25;15.00;-0.05;0.05
2074193;POLICOSANOL CAPS 120X10MG DEBA;Cholesterol;28.90;34.00;-0.15;0.18
2907632;DEXSIL PHARMA GEWRICHTEN FORTE DRINKBARE OPL 500ML;Artrose / slijtage;29.61;32.90;-0.10;0.11
1397272;VITAFYTEA BIFIFLOR FORTE COMP 30;Probiotica;17.81;20.95;-0.15;0.18
1441567;VITAFYTEA ACEROLA VIT C 500 TABL 150;Vitaminen;20.82;24.50;-0.15;0.18
2663755;MAGNESIUM 500 MINERALS BE LIFE GEL 180;Mineralen;20.70;23.00;-0.10;0.11
2792711;OMEGASAN 3 SOFTGELS 60 CFR 3493715;Geheugen;27.10;30.11;-0.10;0.11
2110971;ESKIMO-3 CAPS 250X500MG 3173 METAGENICS;Bloeddruk;40.94;45.49;-0.10;0.11
3229309;OMNIBIONTA PRONATAL METAFOLIN COMP 90;Zwangerschap en borstvoeding;28.01;32.95;-0.15;0.18
2891109;BIOCYTE COLLAGEN EXPRESS STICKS 10X6G;Huid;22.95;27.00;-0.15;0.18
3113321;BIOCURE D3 KIDS GUTT 20ML;Vitaminen;6.46;7.60;-0.15;0.18
3003936;PHYTOSTANDARD HARPAGOPHYTUM CAPS 60;Spierpijn en stijfheid;17.00;20.00;-0.15;0.18
1552587;DETOXIFORTE V-CAPS 60 DEBA;Leverontgifting;20.00;25.00;-0.20;0.25
2532414;ORTIS PROPEX KEELSPRAY 24ML;Luchtwegen;7.60;8.94;-0.15;0.18
2624203;BIOXSINE SH HAARUITVAL NORMAAL HAAR 300ML;Nagels en haren;11.01;12.95;-0.15;0.18
1683820;YALACTA SECURIL CAPS 30;Probiotica;17.55;19.50;-0.10;0.11
1622372;CHLORELLA COMP 500X250MG METAGENICS;Energiegebrek;42.92;50.49;-0.15;0.18
1629062;SPIRULINA PACIFICA COMP 240X500MG METAGENICS;Energiegebrek;21.67;25.49;-0.15;0.18
